 [1] "star wars episode phantom menace "                                                                                                                                                                                                                                                                                               
[21] " amidala jedi fight save planet soon also deal deadly relentless darth maul "                                                                                                                                                                                                                                                    
[22] " plot sounds bit complicated "                                                                                                                                                                                                                                                                                                   
[23] " phantom menace introduces earlier generation characters immediate crisis sets foundation events will eventually lead fall republic demise jedi knights anakins turn evil rise dark empire original trilogy "                                                                                                                    
[24] " complexity overwhelming "                                                                                                                                                                                                                                                                                                       
[25] " story moves quickly drawback many questions predictably remain unanswered end film setting stage next episode "                                                                                                                                                                                                                 
[26] "one reasons films story seems hazy confusing unfocused "                                                                                                                                                                                                                                                                         
[27] " unclear whose story phantom menace "                                                                                                                                                                                                                                                                                            
[28] " original trilogy movies clearly lukes story stories centering around growth farmboy rebel hero jedi knight "                                                                                                                                                                                                                    
[29] " unclear whether new film anakins story obiwans "                                                                                                                                                                                                                                                                                
[30] " trilogy centered anakin shaky foundation "                                                                                                                                                                                                                                                                                      
[31] "lloyd like many child actors lacks subtle acting skills adult performers result character seems shallow unimpressive "                                                                                                                                                                                                           
[32] " screen see nothing suggests dark side lurking underneath littleboy face matter presence make seem special quigon willing believe one "                                                                                                                                                                                          
[33] " rest cast fine though often work iffy dialogue lucas "                                                                                                                                                                                                                                                                          
[34] "neeson perfect aging jedi knight "                                                                                                                                                                                                                                                                                               
[35] "mcgregor wellcast obiwan conveys balance youthful energy calm sensibility "                                                                                                                                                                                                                                                      
[36] "portman fits role young queen well lines often formal giving little room give character much personality "                                                                                                                                                                                                                       
[37] " biggest problem phantom menace plot characters interaction "                                                                                                                                                                                                                                                                    
[38] "individually characters new film less developed original star wars storyline confusing previous films series "                                                                                                                                                                                                                   
[39] " unlike previous trilogy lucas doesnt good job playing characters one another "                                                                                                                                                                                                                                                  
[40] " star wars immediate contrasts memorable exchanges luke han han obiwan leia luke "                                                                                                                                                                                                                                               
[41] " ensemble played immediately showed distinct attitudes personalities "                                                                                                                                                                                                                                                           
[42] " sequence luke han chewbacca attempt rescue leia cell death star audience learns lot four characters ways react immediate problems "                                                                                                                                                                                             
[43] " comparable sequence phantom menace flesh characters relationships "                                                                                                                                                                                                                                                             
[44] "individually interesting characters clear motivations interests lucas develops little chemistry tension "                                                                                                                                                                                                                        
[45] " perhaps glaring weakness film probably reason disappointed many reviewers "                                                                                                                                                                                                                                                     
[46] " despite need richer dialogue stronger character interaction film still engaging "                                                                                                                                                                                                                                               
[47] "many wonderful elements lucas previous films make phantom menace memorable entertaining "                                                                                                                                                                                                                                        
[48] "first course remarkably rich imaginative universe lucas creates "                                                                                                                                                                                                                                                                
[49] " characters visit magical underwater cities evade dinosaursized sea monsters fight battle droids menacing destroyers venetianlooking planet naboo watch spectacular event part romanchariot race part nascar circuit arid desert planet tatooine head corsucant gothic urban capital republic home galactic senate jedi council "
[50] " location elaborate complex "                                                                                                                                                                                                                                                                                                    
[51] "lucas never settles vague ideas look settings creates rich spectacular landscapes palaces skylines "                                                                                                                                                                                                                             
[52] " new special effects rereleased special edition trilogy changes allowed give earlier movies look feel just werent possible films made "                                                                                                                                                                                          
[53] " ever new film lucas universe filled menagerie creatures robots personalities supporting cast aliens interact main characters "                                                                                                                                                                                                  
[54] " best character watto greedy tatooine junk dealer owns anakin mother slaves "                                                                                                                                                                                                                                                    
[55] "watto scratchy italian voice short paunchy body oddly mismatched wings flutter like hummingbird floats around room "                                                                                                                                                                                                             
[56] " computergenerated characters film watto best done enjoyable "                                                                                                                                                                                                                                                                   
[57] "speaking computergenerated characters review phantom menace complete without mentioning controversial figure film jar jar binks "                                                                                                                                                                                                
[58] " minutes screen time jar jar realization george lucas dream include fully computergenerated character cast new trilogy "                                                                                                                                                                                                         
[59] "jar jar clumsy amphibian member gungan race literally stumbles way path jedi knights early film becomes qui jons accidental sidekick "                                                                                                                                                                                           
[60] "jar jar usually performs comicrelief role film lightening scenes mishaps inability stay trouble "                                                                                                                                                                                                                                
[61] " animation jar jar nearly seamless interacts characters throughout film really set actors "                                                                                                                                                                                                                                      
[62] "however despite technological magic makes character possible jar jar isnt completely convincing "                                                                                                                                                                                                                                
[63] " still moves sounds much like cartoon blend scene "                                                                                                                                                                                                                                                                              
[64] "throughout movie jar jar never transcends roger rabbit like presence "                                                                                                                                                                                                                                                           
[65] " accept hes never lose sight fact animated character "                                                                                                                                                                                                                                                                           
[66] "initially found jar jar annoying grew enjoy humor added film "                                                                                                                                                                                                                                                                   
[67] " second viewing film jar jar lot fun didnt mind "                                                                                                                                                                                                                                                                                
[68] " second reason film continues fine tradition star wars movies film replete humor small details flesh world lucas creates "                                                                                                                                                                                                       
[69] "despite films struggles good evil sober musings ones destiny force like star wars films phantom menace never takes seriously "                                                                                                                                                                                                   
[70] "fortunately lucas hasnt lost sight fact films entertainment high art "                                                                                                                                                                                                                                                           
[71] " bumbling jar jar oneman twoheaded announcer team calling action films thrilling podrace sequence cameo appearance e t "                                                                                                                                                                                                         
[72] " film phantom menace simply lot fun lots halfhidden jokes humor can easily missed "                                                                                                                                                                                                                                              
[73] " finally phantom menace works films shortage speed action "                                                                                                                                                                                                                                                                      
[74] " beginning end lightsaber battles hairraising chases thrilling duels good evil "                                                                                                                                                                                                                                                 
[75] " podrace sequence tatooine one entertaining exciting scenes star wars film final showdown obiwan quigon darth maul arguably best choreographed thrilling fight sequence lucas filmed "                                                                                                                                           
[76] " phantom menace wont win major oscars "                                                                                                                                                                                                                                                                                          
[77] " probably wont beat titanics box office record "                                                                                                                                                                                                                                                                                 
[78] " even best star wars film id put third original empire strikes back "                                                                                                                                                                                                                                                            
[79] " exciting entertaining film far better typical summer blockbuster "                                                                                                                                                                                                                                                              
[80] " film cant live hype film even original star wars done "                                                                                                                                                                                                                                                                         
[81] " still worth seeing "                                                                                                                                                                                                                                                                                                            
[82] "probably "                                                                                                                                                                                                                                                                                                                       
