 [1] " certainly just monster story "                                                                                                                                                                                           
[57] "branagh plays frankenstein remarkable understanding character "                                                                                                                                                           
[58] " outside strong ambitious talented scientist deep unsecure fragile vaulerble constantly haunted ghosts past "                                                                                                             
[59] "helen boham carter equally wonderful frankensteins surrogate sister end becomes wife little death drives apart "                                                                                                          
[60] " rest cast playing secondary characters solid nothing less convincing "                                                                                                                                                   
[61] "visually film stunning especially makeup "                                                                                                                                                                                
[62] " spinning camera constantly buildingup musical acore art direction production design costumes magnificent arctic ocean swiss alps dark forests plagueriddled streets ingolstadt mary shelleys frankenstein wonder behold "
[63] "kenneth branagh directs film script written shakespeare "                                                                                                                                                                 
[64] " loved lies shallow grave "                                                                                                                                                                                               
[65] " hand "                                                                                                                                                                                                                   
[66] " film ends exacly hamlet creature sets creators body fire "                                                                                                                                                               
[67] " film ends frankenstein creation burning almost hellish fire darkness "                                                                                                                                                   
[68] " terrifying last closeup creatures smiling face "                                                                                                                                                                         
[69] "can man create life abandon creation appearance horrifies "                                                                                                                                                               
[70] " actions attributable creature brought existence "                                                                                                                                                                        
[71] "shelley answer questions certainly posed "                                                                                                                                                                                
[72] "following example branagh "                                                                                                                                                                                               
[73] " film tragic saga playing god "                                                                                                                                                                                           
[74] "victor frankenstein evil man "                                                                                                                                                                                            
[75] " wanted change world better "                                                                                                                                                                                             
[76] " represents everything science stands acting without doubts never considering consequences actions "                                                                                                                      
[77] "produced francis ford coppola frankenstein resembles respects coppolas previous film dracula "                                                                                                                            
[78] " comparison can say dracula visuals even frankenstein can live "                                                                                                                                                          
[79] " comes story characters casting frankenstein stronger "                                                                                                                                                                   
[80] " stronger every aspect neil jordans interview vampire "                                                                                                                                                                   
[81] "although film perfect camera simply refuses stay still occasionally pushy score times tiering effective minor faults easily forgivable picture otherwise captivating stimulating "                                        
[82] "branagh probably created one best best adaptions shellys classic novel "                                                                                                                                                  
