 [1] " rented brokedown palace last night blind heard nothing beforehand enjoyed immensely despite flaws "                                                                                                                                                         
[40] "just revealing different personalities alice dar first come thailand openness delight alices face doesnt read simple naivet way stands stretches friend ride along small boat reaching toward sun really drinking believes freedom dar remains seated shade "
[41] " brokedown palace begins admission alice guilt tape recording sent hank "                                                                                                                                                                                    
[42] "however unintentional alices fault "                                                                                                                                                                                                                         
[43] "shes responsible persuading friend lie parents sneak away safety hawaii perils thailand try petty scam places clutches evil nick "                                                                                                                           
[44] " case one misses point inevitable confusion films beginning darlene obligingly reminds alice culpability prison "                                                                                                                                            
[45] "dar course willing dupe view confers innocence "                                                                                                                                                                                                             
[46] "never mind coercion reluctant alice accompany hong kong placed police custody first place naive confession sealed fate "                                                                                                                                     
[47] "dar innocent "                                                                                                                                                                                                                                               
[48] " doesnt matter "                                                                                                                                                                                                                                             
[49] "alice subject movie "                                                                                                                                                                                                                                        
[50] " journey toward personal freedom "                                                                                                                                                                                                                           
[51] "along way treated unsympathetic portrait shallow american culture created girls halfbaked sensibilities materialistic goals "                                                                                                                                
[52] " end culture like representatives yankee hank dars father man knows grease wheels proves impotent government face girls tragedy "                                                                                                                            
[53] "thailands culture contrary opinion comes much better comparison "                                                                                                                                                                                            
[54] " amazes reviewers argued point extremes "                                                                                                                                                                                                                    
[55] " believe filmmakers view thai culture vastly different american necessarily inferior "                                                                                                                                                                       
[56] " thai sole exceptions corrupt official spiteful prison spy uniformly consistent behavior true principles "                                                                                                                                                   
[57] " girls shown treated better certainly worse nativeborn "                                                                                                                                                                                                     
[58] " prison stark contrast probable reality hellhole relatively clean sunlit "                                                                                                                                                                                   
[59] " prison authorities demanded good hygiene provided medical care needed hard manual labor consisted picking grass "                                                                                                                                           
[60] " thai guards authoritarian else certainly routinely sadistic "                                                                                                                                                                                               
[61] " thai justice system reasoning thai judges appeal hearing films penultimate scene devastating logic morality "                                                                                                                                               
[62] "freedom many faces brokedown palace explores many "                                                                                                                                                                                                          
[63] " extreme freedom body freedom spirit "                                                                                                                                                                                                                       
[64] " settle former alone others remain imprisoned entire nation roam without latter "                                                                                                                                                                            
[65] " freedom seldom comes without price "                                                                                                                                                                                                                        
[66] " movies tag lines dream "                                                                                                                                                                                                                                    
[67] " far go "                                                                                                                                                                                                                                                    
[68] " believe make good case interpretation person attains freedom incarcerated films end alice "                                                                                                                                                                 
[69] " finds redemption salvation acceptance personal responsibility "                                                                                                                                                                                             
[70] " think light bathing figure among assembled prisoners final scene visually signals fact "                                                                                                                                                                    
[71] "kate beckinsales character might properly likened released temple bird referred twice film trained fly back cage "                                                                                                                                           
[72] " thai magistrate observed films climactic scene issue always one character jamaican prisoner made clear freedom achieved within oneself "                                                                                                                    
[73] " one thinks back movie character transformed experiences "                                                                                                                                                                                                   
[74] "increasingly cinema landscape seems become littered endless permutations kung fu womanfemale characters virtually indistinguishable male action figures "                                                                                                    
[75] " last story modern heroine "                                                                                                                                                                                                                                 
[76] " reading many users comments struck seems unusual phenomenon whether person liked movie almost everyone praised actors "                                                                                                                                     
[77] "think "                                                                                                                                                                                                                                                      
[78] " last time came away motion picture possibly hating raving performances "                                                                                                                                                                                    
[79] " favor rent brokedown palace watch open mind "                                                                                                                                                                                                               
[80] "theres meets eye "                                                                                                                                                                                                                                           
