 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
[22] " easily milks lovable characters comic moments theyre worth rendering two little mermaids big tunes sea kiss girl become stuff legend "                                                                                                                                                                                                                                                                                                                                                                                                                                                             
[23] "pat carrol deliciously villainous vampy evil seawitch ursula kenneth mars booming voice conveys stern yet affectionate authority ariels father king triton "                                                                                                                                                                                                                                                                                                                                                                                                                                        
[24] " large roles small edie mcclurg dotting busybody carlotta ideal rene auberjonois great fun exuberant french chef little mermaid impeccably cast "                                                                                                                                                                                                                                                                                                                                                                                                                                                   
[25] " course little mermaid will probably best remembered remarkable collection songs composed songwriting team alan menken music howard ashman lyrics created little shop horrors go compose beauty beast aladdin disney mr ashmans untimely death "                                                                                                                                                                                                                                                                                                                                                    
[26] " mr menkens tunes unbearably catchy mr ashmans charming lyrics fully integrated films storyline songs virtual extension characters dialogue consequently work wonderfully within context film "                                                                                                                                                                                                                                                                                                                                                                                                     
[27] "mr menkens score film equally topnotch sequence eric voiced christopher daniel barnes ariel tour kingdom horsedrawn carriage becomes magical wondrous mr menkens fine score "                                                                                                                                                                                                                                                                                                                                                                                                                       
[28] " appears people prefer delightfully colourful production number calypsostyled sea joyfully crooned mr wright won academy award golden globe awards best song indeed one many little joys screening film rerelease listening children scattered throughout audience singing along tune favourite ms bensons heartfelt rendition ballad part world achingly beautiful tune yearning hope wonderfully lyricized mr ashman accompanied films dazzlingly polished animation sequence packs emotional wallop literally brought tears eyes "                                                               
[29] " songs reprise builds crescendo ariel arching rock wave crashes cumulative effect nothing short breathtaking one becomes acutely aware single instance one finest animation history "                                                                                                                                                                                                                                                                                                                                                                                                               
[30] " writing november come end disneys limited day rerelease little mermaid "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
[31] "theres question primary motivation films reissue least timing reinforce disneys dominance animation market provide direct competition foxs costly new upstart animation division first major venture anastasia "                                                                                                                                                                                                                                                                                                                                                                                    
[32] " every respect rerelease little mermaid appears success films grosses pushed cumulative domestic gross magic million mark little mermaid proved remarkably strong drawing power film initially released eight years ago many homes video pulling close million opening weekend although nobody possibly expect little mermaid possibly defeat aggressivelymarketed anastasia headtohead competition siphoned enough fox films opening weekend totals keep anastasia coveted weekend leader spot allowing disneys odious flubber sweep subsequent week wrestle family demographic market share away "
[33] " although disneys motives reissue little mermaid selfserving protectionist real winner public "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
[34] " reason put film back theatres good one true joy see heartwarming gem back silver screen "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
[35] " little mermaid best film come disneys modern animation renaissance one greatest animated films ever made "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
