  [1] " remember seeing trailer black cauldron pinocchio video "                                                                                                                                                                            
 [81] "theres taran grant bardsley assistant pig keeper rather warrior pigkeeper storys hero "                                                                                                                                              
 [82] " critics said taran likeable opposite true "                                                                                                                                                                                         
 [83] " brave loyal eventually learns lesson friendship later "                                                                                                                                                                             
 [84] "theres likeable character "                                                                                                                                                                                                          
 [85] " hes likeable character film "                                                                                                                                                                                                       
 [86] "theres gurgi john biner lovable little uh thing remains loyal taran even though dont quite hit first "                                                                                                                               
 [87] " another likeable character bad guy comic henchman dwarf named creeper phil fondacairo loyal films imaginative sinister villain horned king voiced gruesomely john hurt yet also fears neck "                                        
 [88] " characters including sidekicks spunky sweet princess named eilonwy comic bard fflewdurr flamm three comically wicked witches hide dark secret although pleasant likeable arent quite well rounded "                                 
 [89] " story adventurous one quest involving mystical pig hen wen black cauldron army deathless ones everything hooking opening spectacular finale "                                                                                       
 [90] "elmer bernsteins music also tells story perfectly dark yet calming manner "                                                                                                                                                          
 [91] " animation surprisingly good considering film created darkest time studios "                                                                                                                                                         
 [92] "even though occasional effects quite good like ground opening black cauldron rises earth animation overall top notch "                                                                                                               
 [93] "overall film entertaining endeavor "                                                                                                                                                                                                 
 [94] "fans unfamiliar lloyd alexander chronicles prydain will get kick one except young kids "                                                                                                                                             
 [95] " extremely scary scenes darker disneys films although consider stampede sequence lion king frollo observing esmeralda fires hell hunchback notre dame just scary main reason film rated pg "                                         
 [96] "fans familiar lloyd alexander series will recognize differences novel movie "                                                                                                                                                        
 [97] "even though doesnt ingredients true disney film film classic right deserves far better chance given "                                                                                                                                
 [98] " better chance finally come "                                                                                                                                                                                                        
 [99] "whatever reason black cauldron big failure seems disappeared film finally achieved place among disneys proudest achievements "                                                                                                       
[100] " cant help think though whatever happened black cauldron box office success "                                                                                                                                                        
