 [1] " interesting part cant hardly wait just happens human many us one part many us can easily relate "                                                                                                                                                                                                                                                                                                                                                                                                                                                                
[31] " actually like seth green decade played young woody allen radio days desintegration wigger character almost believable almost "                                                                                                                                                                                                                                                                                                                                                                                                                                   
[32] " course lauren ambrose wonderful denise one character used even though changed entirety film "                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
[33] "however character denise really doesnt work film really thought "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
[34] "shes far witty realized least first half belong film whenever appears automatically gives everything delightfully satirical tone "                                                                                                                                                                                                                                                                                                                                                                                                                                
[35] "shes just cynic intellectual shes just interesting character provides entertainment even damages already damaged characters "                                                                                                                                                                                                                                                                                                                                                                                                                                     
[36] " may ruin film least shes screen can sit think well least well entertained "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
[37] " couple things just dont work mikes character suffers epiphany throughout film end acts though forgotten everything much sacrificial lamb film general aimless bitchy driving preston try get inability shack amanda give break perhaps one thing just doesnt work jenna eflmans uncredited cameo angel just didnt work nice try "                                                                                                                                                                                                                                
[38] "basically worst thing film real reason im giving low rating refuses give us fully realized characters insists follow around complete stereotypes movies things inane unlike anything wed "                                                                                                                                                                                                                                                                                                                                                                        
[39] " dont feel characters us arent stereotypes going motions worn subplots "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
[40] " acid test high school movies capture feel portraying "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
[41] " answer film "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
[42] "nice try though "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
