  [1] " following review contains spoilers "                                                                                                                                                                                                                                                                                 
 [65] " first widely available dvd release features international version film runs minutes longer print ran u s theaters "                                                                                                                                                                                                  
 [66] " movie presented original theatrical aspect ratio enhanced x televisions remastered full thx glory "                                                                                                                                                                                                                  
 [67] "extras disc include full length audio commentary track director jeannot szwarc special project consultant scott michael bosco excellent minute documentary called supergirlthe making feature dig workout montage trailers tv spots talent bios indepth storyboards accompanied score movie assorted still galleries "
 [68] " transfer international version incredible "                                                                                                                                                                                                                                                                          
 [69] "youd think watching new release "                                                                                                                                                                                                                                                                                     
 [70] "images sharp colors jump screen picture free scratches artifacts "                                                                                                                                                                                                                                                    
 [71] " special effects sequences show wear time just isnt much can done unless youre obsessive like george lucas "                                                                                                                                                                                                          
 [72] " new thx approved audio loud clear right places however youll hearing absurd dialogue mediocre jerry goldsmith score completely unrelated john williams classic superman theme sounds better suited cannon films golanglobus production "                                                                             
 [73] " commentary track featuring director szwarc project consultant bosco step right direction evolution audio commentaries "                                                                                                                                                                                              
 [74] "bosco seems expert things supergirl szwarc ensure theres dead air track "                                                                                                                                                                                                                                             
 [75] "bosco probes szwarc information virtually everyone everything comes onscreen learn great deal film result participation "                                                                                                                                                                                             
 [76] "although times can tell bosco looking specific response szwarc surprised doesnt get response "                                                                                                                                                                                                                        
 [77] " learn fascinating tidbits track notably almost appearance film christopher reeve "                                                                                                                                                                                                                                   
 [78] "great detail given supermans proposed role original script reeve wisely dropped "                                                                                                                                                                                                                                     
 [79] " stands superman written early film hear radio broadcast mention billions light years away sort peace mission "                                                                                                                                                                                                       
 [80] " sake brevity wont even get one "                                                                                                                                                                                                                                                                                     
 [81] "szwarc also reveals conscious decision salkinds everyone else agreed supergirl needed stand replacing science fiction superman films cutsy whimsical fantasy nonsense "                                                                                                                                               
 [82] "bosco also points scenes american release come along claiming original release hit box office "                                                                                                                                                                                                                       
 [83] " sake brevity wont even get one "                                                                                                                                                                                                                                                                                     
 [84] "anchor bay also released limited edition copies pressed twodisc set "                                                                                                                                                                                                                                                 
 [85] "disc one contains everything mentioned regular release "                                                                                                                                                                                                                                                              
 [86] "disc two features never seen directors cut film runs minutes long "                                                                                                                                                                                                                                                   
 [87] " additions mainly consist scene extensions dont add much note except moments lengthen peter otooles screen time particularly latter appearances "                                                                                                                                                                     
 [88] " print rough spots sound mono fans film wont care "                                                                                                                                                                                                                                                                   
 [89] "one question though "                                                                                                                                                                                                                                                                                                 
 [90] "shouldnt directors commentary directors cut film "                                                                                                                                                                                                                                                                    
 [91] "id never seen supergirl sat watch dvd "                                                                                                                                                                                                                                                                               
 [92] " nine released theaters even smart enough inform parents take see "                                                                                                                                                                                                                                                   
 [93] " popped dvd player sat easy chair idea expect "                                                                                                                                                                                                                                                                       
 [94] " knew film wasnt beloved never interest willing give shot impressive amount work put disc "                                                                                                                                                                                                                           
 [95] " disc began spin rather impressed opening sequence made sit wonder assumptions time wrong "                                                                                                                                                                                                                           
 [96] "come find however just chase digital stereo logo "                                                                                                                                                                                                                                                                    
 [97] " slunk back seat nightmare started "                                                                                                                                                                                                                                                                                  
 [98] " end film supergirl flies back lake omegahedron flies back argo city "                                                                                                                                                                                                                                                
 [99] "ugh give "                                                                                                                                                                                                                                                                                                            
[100] "im surprised even made end film twice three times review discs "                                                                                                                                                                                                                                                      
[101] "supergirl definitely terrific dvd package lousy movie "                                                                                                                                                                                                                                                               
[102] "pg "                                                                                                                                                                                                                                                                                                                  
