  [1] "warning spoilers included review "                                                                                                                                  
 [57] " one subplots remotely interesting rest forgettable boring "                                                                                                        
 [58] " main plot outrageous cant figure film supposed action drama scifi "                                                                                                
 [59] " put simply special effects film hit miss situation "                                                                                                               
 [60] "thats right miss hit "                                                                                                                                              
 [61] "scenes earth well done orbiting ship majestic "                                                                                                                     
 [62] " comet huge mistake making laughable frightening "                                                                                                                  
 [63] " concept even trying land comet preposterous enough thats forgiveable "                                                                                             
 [64] " isnt forgiveable actually humans walk surface "                                                                                                                    
 [65] "give break will ya "                                                                                                                                                
 [66] " course much hyped collision comet earth "                                                                                                                          
 [67] "well far spectacular makes independence day look brilliant "                                                                                                        
 [68] " water rushing towards land effective hits continent effects turn ridiculous "                                                                                      
 [69] "cgi water used looks bad heard laughs audience shrieks "                                                                                                            
 [70] " fact may even recommend film want see bad effects can actually get days "                                                                                          
 [71] "just think visual effects cant improved along comes film show really can "                                                                                          
 [72] "one thing struck wrong note concerning mimi leders direction also influences actors "                                                                               
 [73] "leder loves show actors faces moments terror "                                                                                                                      
 [74] " reminded another action director renny harlin die hard cliffhanger "                                                                                               
 [75] " harlin succeeds shows faces victims realistic situations "                                                                                                         
 [76] "leder likes flaunt peoples fears via faces instead coming sympathetic leder seems sadist "                                                                          
 [77] "one moment astronaut flying space "                                                                                                                                 
 [78] " enough warrant response audience leder wants go farther shows us persons face drifting space "                                                                     
 [79] " one cheapest ways ellicit emotional response audience one going fooled "                                                                                           
 [80] " another note leders film picks pace last fifteen minutes comet actually impacts "                                                                                  
 [81] " pace pick emotional moments shown "                                                                                                                                
 [82] " watch people cry loved ones obvious will emotional "                                                                                                               
 [83] " mostly just big trick rope viewers feeling characters didnt work "                                                                                                 
 [84] " anyway actors much can given "                                                                                                                                     
 [85] "t leoni bad boys tvs naked truth best film given meatiest role "                                                                                                    
 [86] " character made stronger leonis presence grow care "                                                                                                                
 [87] "robert duvall energetic fun watch character turned shreds plot "                                                                                                    
 [88] "elijah wood also comes rather successfully still hasnt many good roles wood stick drama "                                                                           
 [89] " talented stuff "                                                                                                                                                   
 [90] "vanessa redgrave barely acknowledgeable performance enhanced strong presence screen "                                                                               
 [91] "maximilian schell distracting provide nice humor "                                                                                                                  
 [92] "morgan freeman infinitely better gives one shallow performances date quite remarkable "                                                                             
 [93] "leelee sobieski better think just suffered poorly written character "                                                                                               
 [94] " special note go ron eldard denise crosby "                                                                                                                         
 [95] "eldard good role limited plot "                                                                                                                                     
 [96] "crosby special personally tasha yar tvs star trek next generation "                                                                                                 
 [97] "seeing one highlights film "                                                                                                                                        
 [98] "overall talented cast virtually wasted "                                                                                                                            
 [99] "deep impact rated pg disaster related elements brief language "                                                                                                     
[100] " one worst films year omen things come summer one worst ever "                                                                                                      
[101] "luckily xfiles movie coming hopefully armageddon will successful "                                                                                                  
[102] " shame film will successfully just isnt worth much "                                                                                                                
[103] "costing nearly million special effects done illustrious ilm huge shocker score composed oscarwinner james horner titanic one might expected fun witness experience "
[104] "well "                                                                                                                                                              
[105] " comet hit earth almost wish just take film along "                                                                                                                 
