 [1] " following review encompasses two versions dune "                                                                                                                                               
[32] "humour least gentle kind humour distinct harkonnens mad sadistic kind hard find "                                                                                                               
[33] " may balk comparison writer lynch well done lessons george lucus star wars trilogy "                                                                                                            
[34] " theatrical version still way complete disaster however "                                                                                                                                       
[35] " still possesses enough lynchs stylistic quirks enough visual invention sustain interest viewers taste imaginative scifi "                                                                      
[36] "special effects whiz carlo rambaldis giant sandworms awesome sight "                                                                                                                            
[37] " production design anthony masters costume design bob ringwood striking original "                                                                                                              
[38] " magnificent score toto brian eno one underrated soundtracks last twenty years "                                                                                                                
[39] " elements place benefit freddie francis lush cinematography film least feast senses "                                                                                                           
[40] "see widescreen format can "                                                                                                                                                                     
[41] " despite cuts several cast members still make strong impression notably kenneth mcmillan supremely nasty baron vladimir harkonnen "                                                             
[42] "sian phillips also registers strongly reverend mother gaius helen mohiam leader bene gesserit religious order whos secret aim manipulate pauls destiny shadowy ends "                           
[43] " paul atreides young kyle maclachlan starts somewhat shakily character grows strength performance emerges credible leader fremen crusade "                                                      
[44] " conclusion "                                                                                                                                                                                   
[45] " assessment film must take account frank herberts original novel complex piece work presents tough challenge filmmaker "                                                                        
[46] "david lynch took brave stab partly due forces beyond control ended officially released version fails several key respects "                                                                     
[47] "dune certainly confused frustrated lot people release "                                                                                                                                         
[48] "many chose stay away altogether films disastrous box office showing attests "                                                                                                                   
[49] " extended version however rather different beast "                                                                                                                                              
[50] " lynch stated intention release special edition directors cut film home video clear indication dissatisfaction version ended theatres "                                                         
[51] " alas failed choosing move projects "                                                                                                                                                           
[52] " way partly lynchs fault appeared instead unauthorised extended version put together mca tv special projects airing cable networks usa "                                                        
[53] "stung action lynch successfully petitioned directors guild take name credits replace allen smithee standard pseudonym directors wish disown work "                                              
[54] " also screenwriting credit changed anonymous judas booth "                                                                                                                                      
[55] "certainly looking results mcas handiwork theres least half dozen instances sheer technical sloppiness good enough reasons director object "                                                     
[56] " gripes must considered light improvements extended cut dune offers several crucial areas "                                                                                                     
[57] " changes involve restoration extension cut scenes addition extra narration fill many holes original versions storyline "                                                                        
[58] "pauls relationship father associates intimate moments humour warmth lacking previously "                                                                                                        
[59] " political skulduggery involving emperor spacing guild bene gesserits two warring houses far better explained "                                                                                 
[60] "pauls initiation fremen way life arrakis also fleshed considerably "                                                                                                                            
[61] " background new prologue added featuring narration painted stills give us brief history dune universe "                                                                                         
[62] " piece storytelling mca tvs version dune clearly superior "                                                                                                                                     
[63] " piece editing however times surprisingly inept "                                                                                                                                               
[64] " use painted stills new prologue works well enough occasional appearance action begins inappropriate "                                                                                          
[65] "theres sloppy cutting instances shots even appear order "                                                                                                                                       
[66] " use repeated footage fabricate certain scenes eg "                                                                                                                                             
[67] "ships coming going soldiers coming going times clearly outofcontext "                                                                                                                           
[68] " kind thing lynch objected rightly "                                                                                                                                                            
[69] " also noted several questionable scenes shots theatrical version deleted satisfy censorship demands u s television "                                                                            
[70] " notable omission gratuitous piece nonsense lynch wasnt even herberts book "                                                                                                                    
[71] " scene features baron harkonnen killing beautiful young man front slobbering henchmen pulling heart plug "                                                                                      
[72] " surreal disturbing episode thats lynchesque adds nothing already know baron nasty piece work "                                                                                                 
[73] "despite peculiar flaws extended version dune generally superior film "                                                                                                                          
[74] " contains minutes restored footage approximately another minutes either altered fabricated newly created sequences "                                                                            
[75] "unless idiosyncratic lynch sudden change heart alan smithee version remains closest well get movie "                                                                                            
[76] " repeated viewings one suspects closer lynch prepared admit "                                                                                                                                   
[77] "still one centurys great sciencefiction novels fans perhaps late herbert argue dune deserved better fate transfer screen "                                                                      
[78] " rumours circulating new six hour miniseries planned production company new amsterdam entertainment unlikely heard last dune saga "                                                             
